column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
0.7780081598084683,0.133954208171691,0.8689166264320788,0.7487778782768545,0.7985856540990809,0.5433452305839027,0.2208379150614619,0.9184586465896005,0.5920845776663763,0.34623790945514643,0.26377852928001977,0.913915477165132,0.4197354613068207,0.5401915156671309,0.6084421578050496,0.826249828434158,0.6235631845621308,0.17671216158442604,0.5912573526535458,0.48926616699485914
0.5479077800903767,0.6995206197905481,0.24581116390413071,0.1866271455864802,0.11058314779616107,0.2740592525360537,0.010250039399590904,0.6293597228295822,0.29517230521974247,0.18728654470189776,0.09528805226080372,0.28375580746525464,0.21492438413069526,0.2856037339109023,0.471409857469679,0.549496821088408,0.8451131155747016,0.9885097007841643,0.04886808622935135,0.23211825143616394
0.6433114272482352,0.1614665628916767,0.8701458933690015,0.21740242630502593,0.741755038883449,0.6530205132311011,0.7988855115046296,0.031247562265261597,0.22957402874434518,0.7046274991204592,0.08756250900112283,0.03058948319431931,0.35713493369956073,0.5897819914717638,0.05222272738416023,0.06566366620637754,0.043501186059715646,0.3951507584675038,0.6684270460160577,0.1980271118161696
0.8762664517041591,0.4323890954448474,0.6196414637099646,0.2904267429349884,0.6152545734642763,0.9536599623823226,0.44801471652408964,0.20704983825331424,0.42536729190538647,0.4445742647637577,0.5076174866719614,0.5257332498109579,0.042429191882546125,0.16441908617012002,0.45022717961737324,0.7079711706189208,0.7775879083055336,0.7771029994696447,0.5027787525092214,0.9567475933072476
0.33187371253987585,0.4814581623460332,0.7483739993410363,0.8578395184395139,0.4144600551329115,0.8486845142673234,0.4445709417507092,0.7157470842863543,0.008448363578819729,0.025201423670748957,0.9404504935420885,0.10213794823119349,0.6619677904397077,0.2832587438211208,0.2008423437754454,0.3883341821147591,0.9259015965084992,0.5702742097507191,0.9167146119578825,0.7022642408197249
0.501216451687087,0.5060868335126388,0.21882078632937274,0.004663522735049885,0.4178362440027158,0.5633761103390351,0.8765618684233271,0.6775848402279094,0.8423330461034713,0.92616128692492,0.9411158736336223,0.816019151924394,0.13139460547944382,0.346630014990264,0.2085024945255225,0.8673815371565234,0.7923302193062579,0.3490016406838594,0.5691405320556354,0.8051315402557015
0.8331612447339762,0.205793676950072,0.7306802005261156,0.803414164159449,0.04312903635336274,0.10718740423157991,0.43508364985882764,0.2208812218607441,0.8806220661656807,0.7196875377244113,0.713007293546981,0.769859656992702,0.33074702616940477,0.2286102518330989,0.6263439592010264,0.41447924952538917,0.9367810722341859,0.6424524189027923,0.3869003430123682,0.8551196608041906
0.38079258371620806,0.1783098277777202,0.7816594256660814,0.4722085874158014,0.2594804044042771,0.692399245881231,0.9804850789987785,0.24625358896778982,0.7902438025940453,0.7623352442240589,0.120039792177414,0.8389025945590006,0.4617389047565317,0.12578138255308757,0.5363434730960686,0.296512750794629,0.1757241932567306,0.07923817070079964,0.19889909182949916,0.42958861905641377
0.6418117636288316,0.0873791787897964,0.7157305877709652,0.10174481096338206,0.17559907090882187,0.7133215621574106,0.8852636744104891,0.9831383610430723,0.6529069507012145,0.4777363530063754,0.08778755488499446,0.5589507946972767,0.18115022940864645,0.5144020604712206,0.6089301489343916,0.8332124901226042,0.3237505822561465,0.9888620933197065,0.9949502599677932,0.8261508194397967
0.6941525454251833,0.7336697980969766,0.8752688098046626,0.9515101483457323,0.8522629265975512,0.6409386397788642,0.0734983847144366,0.6233847142958386,0.35321389178551854,0.16477862322429637,0.8931661865670434,0.8248904812066794,0.5266384238528333,0.46344925615357246,0.4893012881271256,0.260720019719452,0.4026379231331474,0.43666987972703,0.015056134248370046,0.8929058830787158
0.029149317847511735,0.37289288401172616,0.09587331469277216,0.19696432035003852,0.9424206123971431,0.37127117166789636,0.729000801821477,0.1261601086290215,0.25128292170720934,0.8812352971212315,0.9032961504890155,0.287635258215888,0.9671131315122963,0.668099335625191,0.5030067735343265,0.3780024086485555,0.3373682942964583,0.9520107050830011,0.6933338285892229,0.5341017000733372
